date	state	new_confirmed	new_deceased	new_recovered	new_tested	total_confirmed	total_deceased	total_recovered	total_tested
2020-03-30	IN	3189	127	0	14533	24664	811	0	130511
2020-03-30	ME	224	7	117	2918	2880	58	809	45496
2020-03-30	TX	4399	102	0	49477	37429	625	266	417338
2020-03-30	CT	4335	170	0	12086	33281	958	0	143057
2020-03-30	UT	856	9	0	17391	8930	55	0	177486
2020-03-30	IA	522	19	261	5013	4960	96	1045	66039
2020-03-30	MD	2630	77	159	14888	19515	343	742	164221
2020-03-30	IL	7192	225	0	32496	63464	1470	0	342819
2020-03-30	RI	674	23	0	6224	5232	113	245	45574
2020-03-30	PR	339	15	0	3046	2659	105	0	25119
2020-03-30	SC	1307	30	0	13891	11828	245	0	82281
2020-03-30	AS	0	0	0	5	0	0	0	35
2020-03-30	CO	2544	99	0	10409	28942	771	0	143013
2020-03-30	WI	1171	63	0	12162	13368	361	0	170184
2020-03-30	WY	117	0	28	1995	1182	0	276	20209
2020-03-30	AR	419	9	73	7110	5132	88	462	67099
2020-03-30	LA	10843	326	0	35133	71493	2596	0	377463
2020-03-30	AK	85	1	0	2725	1210	45	0	44394
2020-03-30	KS	480	16	0	4162	4428	123	0	49887
2020-03-30	SD	188	3	57	2441	1328	14	472	33752
2020-03-30	ID	755	6	0	6289	6444	70	0	57666
2020-03-30	VA	1857	28	0	12483	14398	267	0	135083
2020-03-30	CA	8940	239	0	41035	87558	1985	0	751945
2020-03-30	KY	577	41	0	12749	5787	242	0	86072
2020-03-30	TN	2032	52	235	24046	21194	268	1793	266303
2020-03-30	MA	8085	204	0	33640	71799	1264	0	435601
2020-03-30	MI	10621	530	0	32421	87368	3380	224	416088
2020-03-30	AL	1058	42	0	8212	10389	254	0	72104
2020-03-30	DE	529	9	62	4201	4317	108	404	40559
2020-03-30	NJ	24454	806	0	47172	209155	4577	0	471582
2020-03-30	WV	202	3	0	6830	1766	16	0	47042
2020-03-30	NM	404	8	104	7957	3430	63	314	106152
2020-03-30	MT	142	2	0	2476	1818	38	0	39802
2020-03-30	VT	287	11	0	2725	2857	128	105	37752
2020-03-30	GU	206	3	18	208	1346	24	110	3778
2020-03-30	NV	927	40	0	6414	11008	289	0	103793
2020-03-30	MP	6	1	0	29	48	6	0	165
2020-03-30	NC	1567	36	0	19862	14926	170	0	229170
2020-03-30	GA	4526	191	0	18550	40957	1375	0	170129
2020-03-30	NY	65885	4637	9162	134343	731061	27042	63468	1832263
2020-03-30	NH	401	6	91	2627	3806	46	685	50271
2020-03-30	FL	7926	181	0	70718	71271	1165	0	643330
2020-03-30	MO	1673	43	0	15600	14257	252	0	156510
2020-03-30	OH	2517	102	0	21103	23194	655	0	266028
2020-03-30	AZ	1297	47	0	15775	12834	313	0	174915
2020-03-30	MS	890	35	0	16534	9376	226	0	55476
2020-03-30	DC	716	13	197	4064	6204	127	1619	43600
2020-03-30	OR	525	13	0	8918	6353	162	0	121176
2020-03-30	VI	14	1	15	105	263	1	200	1649
2020-03-30	WA	3205	162	0	28886	48304	2086	0	688811
2020-03-30	NE	253	7	0	4061	2172	47	0	33933
2020-03-30	MN	410	20	197	10150	5635	152	1278	183359
2020-03-30	OK	845	34	139	1061	6889	264	905	16131
2020-03-30	ND	116	0	55	3376	1223	21	362	39735
2020-03-30	HI	181	5	36	5526	2185	19	493	77318
2020-04-06	UT	706	5	0	12393	14561	110	218	282465
2020-04-06	MT	75	1	36	2308	2528	43	966	57132
2020-04-06	KS	530	38	0	4780	8259	334	0	81346
2020-04-06	AL	1800	51	0	14417	21191	579	0	147905
2020-04-06	WI	988	72	0	11682	21269	889	0	256231
2020-04-06	VT	205	4	0	3300	4673	170	105	59308
2020-04-06	NE	432	9	0	4177	4694	114	0	64904
2020-04-06	NH	305	14	92	2861	6173	143	1532	70818
2020-04-06	TX	6633	147	2231	47869	79466	1568	8443	785051
2020-04-06	IN	3314	243	0	18348	48674	2310	0	253049
2020-04-06	TN	1730	49	1315	28845	33115	682	7685	445840
2020-04-06	NC	1918	49	0	22662	27818	526	0	375443
